node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
4477,39.471649,-0.3715421,,,,,,,,,,,,
4478,39.4724789,-0.3705187,,,,office,2,,,,,,,
4479,39.4726896,-0.3710314,,,,,,,,,,,,
4480,39.4689116,-0.3283724,,,,restaurant,4,,,,,,,
4481,39.4734399,-0.3689552,2,,Carrer de Xim?nez de Sandoval,apartments,,,,,,,,
4482,39.4718391,-0.3790824,,,,,,,,,,,,
4483,39.4723217,-0.3788879,,,,public,,,,,,,,
4484,39.4722615,-0.3784083,,,,,,,,,,,,
4485,39.4724063,-0.3778588,,,,,,,,,,,,
4486,39.4723427,-0.3777121,,,,,,,,,,,,
4487,39.4721323,-0.377918,,,,,,,,,,,,
4488,39.472753,-0.3820359,,,,,,,,,,,,
4489,39.4724564,-0.3842959,,,,,,,,,,,,
4490,39.4725953,-0.384622,,,,,,,,,,,,
4491,39.4724271,-0.3849995,,,,,,,,,,,,
4492,39.473795,-0.3860417,,,,,,,,,,,,
4493,39.4726681,-0.3776605,,,,,,,,,,,,
4494,39.4729193,-0.3776087,,,,,,,,,,,,
4495,39.473097,-0.37773,,,,,,,,,,,,
4496,39.4729172,-0.3772195,,,,,,,,,,,,
4497,39.4727097,-0.3770217,,,,,,,,,,,,
4498,39.4731891,-0.3766655,,,,,,,,,,,,
4499,39.4737834,-0.3763061,,,,,,,,,,,,
4500,39.4737444,-0.3760035,,,,,,,,,,,,
4501,39.4744802,-0.3763803,,,,,,,,,,,,
4502,39.4752886,-0.3770539,,,,,,,,,,,,
4503,39.4748769,-0.3764687,,,,,,,,,,,,
4504,39.4751176,-0.3770759,,,,,,,,,,,,
4505,39.4746212,-0.3774115,,,,,,,,,,,,
4506,39.4747818,-0.377383,,,,,,,,,,,,
4507,39.4749193,-0.3773491,,,,,,,,,,,,
4508,39.475751,-0.3767734,,,,,,,,,,,,
4509,39.4755053,-0.3766124,,,,apartments,,,,,,,,
4510,39.4757224,-0.3767705,,,,,,,,,,,,
4511,39.4761508,-0.3769984,,,,,,,,,,,,
4512,39.4759466,-0.3770948,,,,,,,,,,,,
4513,39.4764239,-0.3775645,,,,,,,,,,,,
4514,39.4759888,-0.3764616,,,,,,,,,,,,
4515,39.4761896,-0.3764128,,,,,,,,,,,,
4516,39.4763301,-0.3763827,,,,,,,,,,,,
4517,39.476511,-0.3766662,,,,,,,,,,,,
4518,39.4764504,-0.376394,,,,,,,,,,,,
4519,39.4762273,-0.376778,,,,,,,,,,,,
4520,39.475546,-0.3775464,,,,,,,,,,,,
4521,39.475798,-0.3774889,,,,,,,,,,,,
4522,39.4763952,-0.3780165,,,,,,,,,,,,
4523,39.4760935,-0.3779299,,,,,,,,,,,,
4524,39.4756749,-0.37723,,,,,,,,,,,,
4525,39.475475,-0.3772762,,,,,,,,,,,,
4526,39.4755317,-0.376958,,,,apartments,,,,,,,,
4527,39.4757365,-0.3770495,,,,,,,,,,,,
4528,39.4753281,-0.3762117,,,,,,,,,,,,
4529,39.4740658,-0.3771967,,,,,,,,,,,,
4530,39.4738325,-0.377573,,,,,,,,,,,,
4531,39.473828,-0.3774359,,,,,,,,,,,,
4532,39.474157,-0.3774755,,,,,,,,,,,,
4533,39.4742796,-0.3772859,,,,,,,,,,,,
4534,39.4738762,-0.3771769,,,,,,,,,,,,
4535,39.4737698,-0.3770591,,,,,,,,,,,,
4536,39.473565,-0.3775921,,,,,,,,,,,,
4537,39.4734487,-0.3775192,,,,,,,,,,,,
4538,39.4736377,-0.3772488,,,,,,,,,,,,
4539,39.4737301,-0.3773792,,,,,,,,,,,,
4540,39.4735204,-0.3770362,,,,,,,,,,,,
4541,39.4730539,-0.3768288,,,,,,,,,,,,
4542,39.4731624,-0.3771593,,,,,,,,,,,,
4543,39.4733778,-0.3772566,,,,,,,,,,,,
4544,39.4730692,-0.3782031,,,,,,,,,,,,
4545,39.4732047,-0.3781642,,,,,,,,,,,,
4546,39.473152,-0.3782743,,,,,,,,,,,,
