id,lon,lat
347,-84.331866,33.771627
348,-84.343906,33.794811
349,-84.3463754,33.7966765
350,-84.3461758,33.7976433
351,-84.3272675,33.7509685
352,-84.327223,33.749464
353,-84.3480786,33.7771904
354,-84.3483385,33.7797584
355,-84.3481538,33.7829252
356,-84.3385704,33.7576687
357,-84.3355102,33.7576411
358,-84.3345146,33.7576197
359,-84.3330261,33.7574434
360,-84.3438368,33.7577742
361,-84.342739,33.757795
362,-84.332992,33.729044
363,-84.331975,33.728619
364,-84.3252482,33.7647945
365,-84.324654,33.768394
366,-84.324639,33.769381
367,-84.325672,33.754468
368,-84.324673,33.75443
369,-84.3231872,33.7543969
370,-84.3217592,33.7543839
371,-84.3342659,33.729082
372,-84.340716,33.7573319
373,-84.3386158,33.7573665
374,-84.323438,33.76272
375,-84.324101,33.762262
376,-84.3397658,33.7554153
377,-84.3368221,33.7747962
378,-84.3370105,33.7748456
379,-84.3385412,33.7741727
380,-84.344733,33.739049
381,-84.344706,33.737937
382,-84.344716,33.737357
383,-84.34473,33.736907
384,-84.344739,33.736359
385,-84.3447266,33.7340541
386,-84.3477351,33.7987894
387,-84.3445827,33.7984562
388,-84.34282,33.799048
389,-84.3423336,33.8016589
390,-84.311227,33.751706
391,-84.348325,33.808304
392,-84.33125,33.736105
393,-84.331279,33.735023
394,-84.3331786,33.7515717
395,-84.3331688,33.7521053
396,-84.3433811,33.7534274
397,-84.3434734,33.7524761
398,-84.3435457,33.7505642
399,-84.34223,33.7497476
400,-84.3386431,33.7534092
401,-84.338645,33.755424
402,-84.338559,33.757964
403,-84.338528,33.759678
404,-84.3385423,33.7605747
405,-84.3385369,33.7616182
406,-84.335009,33.764844
407,-84.31451,33.747316
408,-84.3145046,33.7467855
409,-84.3144935,33.7465332
410,-84.3141634,33.7444297
411,-84.3146681,33.7437701
412,-84.314764,33.743674
413,-84.3480765,33.7533144
414,-84.348278,33.755436
415,-84.3428915,33.7443392
416,-84.343193,33.747558
417,-84.3432147,33.7458368
418,-84.3432262,33.7443667
419,-84.3432019,33.7450699
420,-84.345546,33.764919
421,-84.345113,33.76898
422,-84.3451948,33.7700761
423,-84.345764,33.764919
424,-84.314733,33.755284
425,-84.314787,33.756077
426,-84.314792,33.757863
427,-84.314784,33.761334
428,-84.329953,33.734991
429,-84.329971,33.734015
430,-84.330011,33.732695
431,-84.329961,33.73202
432,-84.2978163,33.7382121
433,-84.3222857,33.7644404
434,-84.3219485,33.7643527
435,-84.320376,33.763778
436,-84.318503,33.764861
437,-84.3112291,33.7482532
438,-84.345071,33.802646
439,-84.3445995,33.7482524
440,-84.32995,33.7191369
441,-84.329303,33.719268
442,-84.3472001,33.7689846
443,-84.325661,33.755342
444,-84.3231683,33.7552968
445,-84.3217864,33.7552611
446,-84.3201385,33.7552397
447,-84.318716,33.755253
448,-84.316619,33.755231
449,-84.313768,33.75529
450,-84.32021,33.7531882
451,-84.3186972,33.7531971
452,-84.316153,33.753178
453,-84.3145527,33.7535309
454,-84.3132309,33.7530053
455,-84.3119203,33.7523238
456,-84.3217277,33.7533657
457,-84.320208,33.753378
458,-84.2984822,33.7514089
459,-84.2984904,33.7501849
460,-84.298489,33.7489259
461,-84.298477,33.747144
462,-84.299188,33.747147
463,-84.334439,33.728936
464,-84.3480374,33.7329459
465,-84.345838,33.732922
466,-84.336237,33.764861
467,-84.335765,33.766198
468,-84.335192,33.764848
469,-84.3083916,33.7472702
470,-84.3081951,33.7510577
471,-84.337639,33.736309
472,-84.3375423,33.7352246
473,-84.3374842,33.7342112
474,-84.337142,33.7417006
475,-84.337515,33.738986
476,-84.3375231,33.7380347
477,-84.3187775,33.7511265
478,-84.3187401,33.7522649
479,-84.3186413,33.7543012
480,-84.33667,33.756324
481,-84.3358434,33.7563136
482,-84.341359,33.739041
483,-84.339355,33.73899
484,-84.3350674,33.7389337
485,-84.3409378,33.7458303
486,-84.3409411,33.7450152
487,-84.3409546,33.7441882
488,-84.3414307,33.7442275
489,-84.3231869,33.7568835
490,-84.321671,33.756748
491,-84.333363,33.727138
492,-84.332718,33.725723
493,-84.324276,33.749408
494,-84.323262,33.749388
495,-84.3212543,33.7493548
496,-84.292028,33.752993
497,-84.309741,33.7452749
498,-84.3014955,33.745076
499,-84.294175,33.744902
500,-84.2932601,33.7448747
501,-84.2919989,33.7448252
502,-84.2907935,33.7447701
503,-84.3418259,33.7616623
504,-84.3417476,33.7648707
505,-84.3417153,33.7659944
506,-84.3417003,33.766472
507,-84.3416892,33.767724
508,-84.3416745,33.7685593
509,-84.3417757,33.774511
510,-84.3415508,33.7751576
511,-84.331993,33.722835
512,-84.328159,33.722698
513,-84.316009,33.757253
514,-84.316275,33.761435
515,-84.3167314,33.7641276
516,-84.3480474,33.7390739
517,-84.346868,33.739056
518,-84.3458253,33.739043
519,-84.3317244,33.7554113
520,-84.3031021,33.7511518
521,-84.3029151,33.7490561
522,-84.3028904,33.7483455
